algorithm,kappa,train_seed,n_eval_seeds,throughput,fairness,on_ratio,handover_ratio,request_dwell_time,request_switch_ratio,conditional_handover_ratio,same_bs_retention_ratio,service_dwell_events,served_ratio,outage_ratio,reward,pf_utility,avg_energy_cost,performance_metric
HAPPO,0.03,0,5,6.1349549034610815,0.9202497959136963,0.6,0.016010000000000003,1.62589322788292,0.6153495349534953,0.1780867630700779,0.821913236929922,5.889950424149696,0.09000000213436782,0.9099999978656322,106.88117324311013,-23.776543651988213,0.18000000000000005,-23.776543651988213
HAPPO,0.03,1,5,5.700227445743683,0.9339444756507873,0.6,0.016894,1.6864176696003068,0.5931193119311932,0.18791991101223585,0.8120800889877643,5.503827220386147,0.09000000225201248,0.9099999977479873,98.87453607314498,-25.20916229808731,0.18000000000000005,-25.20916229808731
HAPPO,0.03,2,5,6.27568418220564,0.9197367429733276,0.5997266666666666,0.014492,1.6518927236263576,0.6054255425542554,0.16127140891006655,0.8387285910899335,6.5980025801121,0.08995900203481318,0.9100409979651868,111.210642455469,-23.314206123573136,0.17991800000000005,-23.314206123573136
MAPPO,0.03,0,5,5.473688966320934,0.9235839486122132,0.6,0.018422,1.6224364731771765,0.6164696469646964,0.20491657397107899,0.7950834260289209,5.0658041837751515,0.09000000235423447,0.9099999976457654,93.48721406773898,-26.066514721774826,0.18000000000000002,-26.066514721774826
MAPPO,0.03,1,5,5.715151286529899,0.9166601300239563,0.6,0.021142,1.6605032369805213,0.6025262526252625,0.23517241379310344,0.7648275862068965,4.366827837663906,0.09000000219628215,0.9099999978037179,102.99516687050195,-25.198261094355885,0.18000000000000005,-25.198261094355885
MAPPO,0.03,2,5,5.408914197359674,0.9509855747222901,0.6,0.021975,1.6174011622100912,0.6184968496849684,0.24443826473859845,0.7555617352614015,4.185311927544708,0.09000000222586095,0.9099999977741391,97.67484356960126,-26.250205763781945,0.18000000000000005,-26.250205763781945
