method,variant,kappa,checkpoint_episode,train_seed,D_E,D_E_normalized_by_budget,D_E_bs_index_zero_based,D_E_tau,energy_utilization_mean,energy_utilization_min_bs,energy_utilization_max_bs,terminal_on_ratio,D_H,D_H_normalized_by_budget,D_H_user_index_zero_based,D_H_tau,handover_utilization_mean,handover_utilization_min_user,handover_utilization_max_user,terminal_handover_ratio,H_max,H_bar
Jensen-HAPPO,jensen,0.03,10,0,239.98000000006786,0.39996666666677977,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,2.01468,0.006738060200668895,9,934,0.26438127090301,0.2287625418060201,0.3110367892976589,0.007905,299,0.0299
Jensen-HAPPO,jensen,0.03,10,1,239.98000000006786,0.39996666666677977,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,1.49304,0.004993444816053512,10,63,0.18705685618729095,0.15652173913043477,0.2220735785953177,0.005593,299,0.0299
Jensen-HAPPO,jensen,0.03,10,2,239.98000000006786,0.39996666666677977,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,0.96878,0.003240066889632107,7,139,0.1865217391304348,0.14448160535117055,0.24013377926421403,0.005577000000000001,299,0.0299
Jensen-HAPPO,jensen,0.03,25,0,239.98000000006786,0.39996666666677977,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,0.89104,0.002980066889632107,7,152,0.17588628762541808,0.13645484949832776,0.2080267558528428,0.005258999999999999,299,0.0299
Jensen-HAPPO,jensen,0.03,25,1,239.92000000006783,0.3998666666667797,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,2.8646000000000016,0.00958060200668897,16,1115,0.2958862876254181,0.2548494983277592,0.34180602006688965,0.008847,299,0.0299
Jensen-HAPPO,jensen,0.03,25,2,239.92000000006783,0.3998666666667797,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,2.67988,0.008962809364548494,2,2194,0.2757190635451505,0.22541806020066887,0.328428093645485,0.008244,299,0.0299
Jensen-HAPPO,jensen,0.03,30,0,239.94000000006787,0.3999000000001131,2,6000,1.000000000000113,1.000000000000113,1.000000000000113,0.6,1.5070000000000001,0.005040133779264214,4,175,0.2887959866220736,0.25418060200668896,0.3331103678929766,0.008635,299,0.0299
Jensen-HAPPO,jensen,0.03,30,1,239.88000000006787,0.3998000000001131,0,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,10.228199999999998,0.034208026755852834,2,2205,0.38812709030100334,0.3290969899665552,0.4608695652173913,0.011605,299,0.0299
Jensen-HAPPO,jensen,0.03,30,2,239.96000000006788,0.39993333333344644,1,5999,1.000000000000113,1.000000000000113,1.000000000000113,0.6,1.40272,0.0046913712374581935,18,468,0.20083612040133775,0.1765886287625418,0.2260869565217391,0.006004999999999999,299,0.0299
HeLyMARL,,0.03,10,0,37.78000000005909,0.06296666666676515,1,8721,1.000000000000113,1.000000000000113,1.000000000000113,0.6,1.26114,0.004217859531772575,4,157,0.5838127090301003,0.5050167224080269,0.6602006688963211,0.017456,299,0.0299
HeLyMARL,,0.03,10,1,60.60000000001857,0.10100000000003094,0,5370,1.000000000000113,1.000000000000113,1.000000000000113,0.6,1.4067400000000005,0.004704816053511708,8,1437,0.5458528428093645,0.49364548494983274,0.6153846153846154,0.016321,299,0.0299
HeLyMARL,,0.03,10,2,39.6600000000004,0.06610000000000067,2,4386,1.000000000000113,1.000000000000113,1.000000000000113,0.6,1.5436599999999998,0.005162742474916387,2,2083,0.534581939799331,0.4434782608695652,0.5926421404682275,0.015984,299,0.0299
