method,kappa,checkpoint_episode,n_train_seeds,n_eval_seeds_per_model,D_E_mean,D_E_normalized_by_budget_mean,D_E_normalized_by_budget_std,D_E_std,D_H_mean,D_H_normalized_by_budget_mean,D_H_normalized_by_budget_std,D_H_std,energy_utilization_mean_mean,energy_utilization_mean_std,handover_utilization_mean_mean,handover_utilization_mean_std,terminal_handover_ratio_mean,terminal_handover_ratio_std,terminal_on_ratio_mean,terminal_on_ratio_std
Jensen-HAPPO,0.03,10,3,5,239.98000000006786,0.39996666666677977,0.0,0.0,1.4921666666666666,0.004990523968784838,0.0017489984847123522,0.5229505469289933,1.000000000000113,0.0,0.21265328874024525,0.04479854564089794,0.006358333333333334,0.001339476514662849,0.6,0.0
Jensen-HAPPO,0.03,25,3,5,239.94000000006784,0.3999000000001131,5.773502691898827e-05,0.03464101615139527,2.1451733333333336,0.00717449275362319,0.003645589552261573,1.09003127612621,1.000000000000113,0.0,0.24916387959866224,0.06425638758772448,0.007450000000000001,0.0019212659888729628,0.6,0.0
Jensen-HAPPO,0.03,30,3,5,239.92666666673452,0.39987777777789085,6.938886664886345e-05,0.041633319989328024,4.379306666666666,0.014646510590858414,0.016941667415949508,5.065558557368902,1.000000000000113,0.0,0.2925863991081383,0.09370300033403545,0.008748333333333334,0.00280171970998766,0.6,0.0
HeLyMARL,0.03,10,3,5,46.013333333359355,0.07668888888893226,0.021112248507357777,12.667349104414669,1.4038466666666667,0.004695139353400223,0.00047251579122269973,0.1412822215755872,1.000000000000113,0.0,0.5547491638795986,0.025792936168684506,0.016587,0.0007712087914436653,0.6,0.0
