variant,kappa,train_seed,episode,global_step,episode_reward_mean,on_ratio_mean,handover_ratio_mean,C_E_max,C_H_max,mu_E_mean_post_update,mu_H_mean_post_update,critic_loss_mean,actor_ue_loss_mean,actor_bs_loss_mean
pf,0.015,1,1,10000,3104.0058158124607,0.7792,0.070175,0.02092999964952469,0.061900001019239426,0.16358647247155508,0.00504589406773448,0.041919251047642596,-0.0035197824462983003,-0.1928972448723367
pf,0.015,1,2,20000,2004.8645740954828,0.7059333333333333,0.060629999999999996,0.01336000021547079,0.0544000007212162,0.260289932290713,0.009220452792942525,0.10172805607838004,-0.0037951709603878995,-0.1583233197386188
pf,0.015,1,3,30000,3322.4227107363863,0.7722333333333333,0.07187,0.019050000235438347,0.06560000032186508,0.4175167381763458,0.014421078516170383,0.4560212333615614,-0.0027844089476827863,-0.1389403962309154
pf,0.015,1,4,40000,2267.1243139454086,0.8182,0.07623500000000001,0.024129999801516533,0.06920000165700912,0.6167051792144775,0.02002017255872488,0.3331311238868069,-0.002376727535370207,-0.11543241126869534
pf,0.015,1,5,50000,2322.531503016793,0.7871666666666667,0.06766499999999999,0.019920000806450844,0.062199998646974564,0.7875641783078512,0.024836935847997666,0.47869762088885703,-0.002850259825604956,-0.11504515614493196
pf,0.015,1,6,60000,1260.6210040512049,0.8494666666666667,0.06575,0.025590000674128532,0.05889999866485596,1.0152950286865234,0.02947888458147645,0.14931170785379094,-0.0015065452842118483,-0.1065770176348359
pf,0.015,1,7,70000,3398.7547904208363,0.6953666666666667,0.05584,0.01307000033557415,0.04879999905824661,1.102352499961853,0.033216177765280006,1.0494152310045006,-0.0019616412480002203,-0.11219989017161977
pf,0.015,1,8,80000,4665.279783862225,0.6952000000000002,0.057645,0.012330000288784504,0.05339999869465828,1.189257820447286,0.03711824472993612,1.855834987020651,-0.00258936353382961,-0.11176618278067842
pf,0.015,1,9,90000,2861.671146067723,0.8546,0.07794,0.025709999725222588,0.07000000029802322,1.4216747681299846,0.042872983030974865,0.5789860596600669,-0.0012738479998351745,-0.08141459827458698
pf,0.015,1,10,100000,2983.0609193442365,0.8843333333333333,0.076925,0.02857000008225441,0.07150000333786011,1.6812343994776409,0.04853506479412317,0.6847928106468607,-0.0013747300008456278,-0.08971687267045196
pf,0.015,1,11,110000,3148.631567941118,0.8735666666666667,0.074875,0.02816000021994114,0.0697999969124794,1.930965503056844,0.054010008461773396,0.9487275057528787,-0.0010746257837207494,-0.08956070817768268
pf,0.015,1,12,120000,1685.5722336323452,0.7894333333333333,0.07014999999999999,0.02019999921321869,0.062199998646974564,2.103893597920736,0.05905362032353878,0.2798191312604814,-0.0013945701601694024,-0.07685413652857105
