variant,kappa,train_seed,episode,global_step,episode_reward_mean,on_ratio_mean,handover_ratio_mean,C_E_max,C_H_max,mu_E_mean_post_update,mu_H_mean_post_update,critic_loss_mean,actor_ue_loss_mean,actor_bs_loss_mean
pf,0.03,0,1,10000,1503.88506898148,0.8647,0.073605,0.027170000597834587,0.05310000106692314,0.24163693686326346,0.0039897023933008315,0.03152066519768469,-0.0039140454800711075,-0.21269487050697916
pf,0.03,0,2,20000,2326.47258249303,0.8973,0.07579000000000001,0.031870000064373016,0.0575999990105629,0.5130334695180258,0.00817886705044657,0.4135572627311445,-0.0035763559671770193,-0.16760979217913333
pf,0.03,0,3,30000,4558.786136466218,0.8195666666666667,0.07406499999999999,0.025690000504255295,0.052400000393390656,0.7134694854418436,0.012210561521351337,1.1166056226391021,-0.002569954144426539,-0.12553973297833146
pf,0.03,0,4,40000,2295.3516595387737,0.7186666666666666,0.06777999999999999,0.01360000018030405,0.04919999837875366,0.8217968543370565,0.01566851669922471,0.3391080827567686,-0.002347655137455609,-0.11061666679680583
pf,0.03,0,5,50000,3922.5698762233055,0.7171333333333333,0.06895,0.012529999949038029,0.04450000077486038,0.928724447886149,0.01923327734693885,1.2743699892135616,-0.001661477988671299,-0.10936631865156933
pf,0.03,0,6,60000,3246.7585731688987,0.7559666666666667,0.07330999999999999,0.01583999954164028,0.05180000141263008,1.0711018840471904,0.02319605043157935,0.9086327508149254,-0.0016390317786098873,-0.08317985737554823
pf,0.03,0,7,70000,2033.110725931884,0.7123666666666666,0.06799000000000001,0.012450000271201134,0.04520000144839287,1.1736781597137451,0.026673175487667324,0.21742742372436444,-0.0016645829277289912,-0.10492669425674868
pf,0.03,0,8,80000,1594.226705569626,0.8021333333333333,0.072025,0.02225000038743019,0.053700000047683716,1.3581997553507488,0.030518644582480194,0.1647635333600788,-0.0011234076987639587,-0.07034449517738688
pf,0.03,0,9,90000,1365.7146545902315,0.7572333333333333,0.06555499999999999,0.016279999166727066,0.04230000078678131,1.5017335414886475,0.03377348594367504,0.12284280222064868,-0.002212526280981123,-0.07823894828443026
pf,0.03,0,10,100000,1996.3678871439133,0.7926666666666667,0.06405000000000001,0.019509999081492424,0.04690000042319298,1.677613337834676,0.03689093980938196,0.3594818079883118,-0.0012927445180012692,-0.09304721142707652
pf,0.03,0,11,110000,2328.445245836717,0.7094999999999999,0.06080999999999999,0.011760000139474869,0.03689999878406525,1.7775727113087971,0.03971262406557798,0.49707948387968537,-0.0015908911671707571,-0.09385753914351351
pf,0.03,0,12,120000,2722.1145550595324,0.8027666666666665,0.07486999999999999,0.020549999549984932,0.053199999034404755,1.9626725514729817,0.043817805126309395,0.9045575193627573,-0.0016277387156888041,-0.0972416715761293
pf,0.03,0,13,130000,1696.144865529061,0.8497333333333333,0.07415499999999998,0.025690000504255295,0.05510000139474869,2.1906468073527017,0.04785771481692791,0.2470296859840357,-0.001693046612619375,-0.0890448795369225
pf,0.03,0,14,140000,2521.6530936733375,0.7700666666666667,0.06806999999999999,0.017650000751018524,0.04769999906420708,2.345895687739054,0.05134214349091053,1.0760585487230974,-0.0015654926995092508,-0.08908010178939675
pf,0.03,0,15,150000,3470.583075667862,0.8605333333333333,0.07579,0.02652999944984913,0.05570000037550926,2.5837289492289224,0.05553130768239498,1.05976669757838,-0.0014069425558842297,-0.10459939420777314
pf,0.03,0,16,160000,2193.3501371880543,0.8632333333333334,0.07251999999999999,0.02687999978661537,0.053700000047683716,2.8240270614624023,0.059421963430941104,0.47431833311553856,-0.0018558911618163597,-0.08321291507926144
