method,kappa,checkpoint_episode,n_train_seeds,n_eval_seeds_per_model,D_E_mean,D_E_normalized_by_budget_mean,D_E_normalized_by_budget_std,D_E_std,D_H_mean,D_H_normalized_by_budget_mean,D_H_normalized_by_budget_std,D_H_std,energy_utilization_mean_mean,energy_utilization_mean_std,handover_utilization_mean_mean,handover_utilization_mean_std,terminal_handover_ratio_mean,terminal_handover_ratio_std,terminal_on_ratio_mean,terminal_on_ratio_std
Jensen-HAPPO,0.015,10,3,5,239.9400000000679,0.3999000000001131,6.666666666668708e-05,0.04000000000000625,17.163993333333334,0.11519458612975393,0.10176970053755623,15.163685380095876,1.000000000000113,0.0,0.5438702460850112,0.1707702437918777,0.008103666666666667,0.0025444766324989785,0.6,0.0
Jensen-HAPPO,0.015,25,3,5,239.96000000006788,0.39993333333344644,8.819171036884144e-05,0.05291502622129203,38.33926,0.25731046979865774,0.14477342394028272,21.571240167102125,1.000000000000113,0.0,0.7464205816554811,0.16461783948463213,0.011121666666666667,0.0024528058083210184,0.6,0.0
Jensen-HAPPO,0.015,30,3,5,239.93333333340118,0.399888888889002,8.388704928077687e-05,0.05033222956846918,27.23112,0.1827591946308725,0.16931202114326363,25.227491150346278,1.000000000000113,0.0,0.6554809843400449,0.20780624312113324,0.009766666666666667,0.0030963130225048845,0.6,0.0
HeLyMARL,0.015,10,3,5,29.493333333355494,0.049155555555592485,0.03055181997367676,18.331091984206054,9.135306666666667,0.06131078299776285,0.01292603140925447,1.9259786799789165,0.9698370370371432,0.05224378435868197,0.8481879194630871,0.05574386106141153,0.012637999999999998,0.0008305835298150345,0.5819022222222222,0.031346270615202065
