algorithm,kappa,train_seed,eval_seed,throughput,fairness,on_ratio,handover_ratio,served_ratio,outage_ratio,reward,pf_utility,avg_energy_cost,performance_metric,request_dwell_time,request_switch_ratio,conditional_handover_ratio,same_bs_retention_ratio,service_dwell_events
MAPPO,0.015,0,2000,5.194787360872101,0.8168800473213196,0.6,0.014495,0.09000000238455833,0.9099999976154417,85.76192097549351,-27.20367463286021,0.18000000000000002,-27.20367463286021,1.7286395466267954,0.582018201820182,0.16123470522803116,0.8387652947719688,6.181956313342042
MAPPO,0.015,0,2001,5.361053907198777,0.833206057548523,0.6,0.01426,0.09000000237487256,0.9099999976251274,87.19357277153314,-26.50627461731577,0.18000000000000002,-26.50627461731577,1.6774868890226409,0.5991949194919491,0.15862068965517243,0.8413793103448276,6.292219683471542
MAPPO,0.015,0,2002,5.4185779750760545,0.8657097816467285,0.6,0.014344999999999998,0.09000000239014626,0.9099999976098537,88.70149503813153,-26.318968442589657,0.18000000000000002,-26.318968442589657,1.694456757122953,0.5944194419441944,0.15956618464961067,0.8404338153503893,6.24789842034726
MAPPO,0.015,0,2003,5.388933903341318,0.8402159810066223,0.6,0.014214999999999998,0.09000000236816705,0.9099999976318329,88.08959137360951,-26.333246471605214,0.18000000000000005,-26.333246471605214,1.6299305376644795,0.6156215621562157,0.15812013348164627,0.8418798665183538,6.304315845795616
MAPPO,0.015,0,2004,5.351885127749149,0.8277357220649719,0.6,0.01436,0.09000000235438346,0.9099999976456166,87.60626259135036,-26.4735733676409,0.18,-26.4735733676409,1.6414918432725234,0.6129062906290629,0.15973303670745273,0.8402669632925472,6.2406260851417645
MAPPO,0.015,1,2000,5.8642767761973404,0.9157882928848267,0.6,0.012995,0.09000000219233334,0.9099999978076666,104.46066592708749,-24.694684732402102,0.18000000000000002,-24.694684732402102,1.6574276858826373,0.6038703870387039,0.14454949944382647,0.8554505005561736,7.012198074293911
MAPPO,0.015,1,2001,6.103919814707435,0.9339197874069214,0.6,0.012130000000000002,0.09000000218041242,0.9099999978195876,106.01425536086751,-23.873889735650742,0.18000000000000005,-23.873889735650742,1.6520238710999624,0.6057855785578558,0.13492769744160177,0.8650723025583982,7.5993171077444375
MAPPO,0.015,1,2002,6.0363348310217315,0.9212765693664551,0.6,0.01284,0.09000000218339264,0.9099999978166073,105.5994354308868,-24.125630874861564,0.18000000000000002,-24.125630874861564,1.6539716017904436,0.6049654965496549,0.142825361512792,0.857174638487208,7.041994572678446
MAPPO,0.015,1,2003,6.065107751620528,0.9394519925117493,0.6,0.012415,0.09000000218711793,0.9099999978128821,105.38751083646436,-23.952411362228297,0.18,-23.952411362228297,1.6447179350267167,0.6082008200820082,0.13809788654060068,0.8619021134593994,7.305040384393583
MAPPO,0.015,1,2004,5.974788129574808,0.922157883644104,0.6,0.013094999999999999,0.09000000216290355,0.9099999978370965,104.96663018753806,-24.258153325742025,0.18000000000000005,-24.258153325742025,1.6370630976624212,0.6111661166116612,0.14566184649610678,0.8543381535038932,6.970261417566197
MAPPO,0.015,2,2000,5.041238538983455,0.8216325044631958,0.6,0.014465,0.09000000249929727,0.9099999975007027,81.1500756901604,-27.745006362982565,0.18000000000000005,-27.745006362982565,1.7335382372336199,0.5843334333433343,0.16090100111234706,0.8390989988876529,6.189490565850746
MAPPO,0.015,2,2001,5.262716815284296,0.8368988037109375,0.6,0.0142,0.09000000249147415,0.9099999975085259,82.97708448484907,-26.853248970526558,0.18000000000000005,-26.853248970526558,1.6972065900717759,0.5939443944394439,0.15795328142380421,0.8420467185761957,6.3111981636815475
MAPPO,0.015,2,2002,5.205958307296543,0.8182312250137329,0.6,0.014235,0.09000000251755118,0.9099999974824489,82.18432412372255,-27.123526742969105,0.18000000000000002,-27.123526742969105,1.6926443549980008,0.5962746274627463,0.15834260289210234,0.8416573971078977,6.294479659886136
MAPPO,0.015,2,2003,5.195504326643034,0.8446170687675476,0.6,0.014039999999999997,0.09000000252649187,0.9099999974735081,82.10006142686909,-27.03581627898247,0.18000000000000002,-27.03581627898247,1.6317098098977136,0.6162216221622162,0.15617352614015573,0.8438264738598442,6.377075774708289
MAPPO,0.015,2,2004,5.142199564517139,0.8301321268081665,0.6,0.014255,0.09000000249482691,0.9099999975051731,81.52807392366111,-27.25442940956234,0.18,-27.25442940956234,1.6697566785073714,0.6040454045404541,0.1585650723025584,0.8414349276974415,6.278016700465212
