algorithm,kappa,train_seed,n_eval_seeds,throughput,fairness,on_ratio,handover_ratio,served_ratio,outage_ratio,reward,pf_utility,avg_energy_cost,performance_metric
HAPPO,0.02,0,5,5.794055836846641,0.9174663186073303,0.6,0.017355000000000002,0.09000000218994916,0.9099999978100509,101.11831964560118,-24.98186496558786,0.18000000000000002,-24.98186496558786
HAPPO,0.02,1,5,5.9965212531274545,0.9242808580398559,0.6,0.016878999999999998,0.09000000202372668,0.9099999979762734,108.45033257590296,-24.373094021454268,0.18000000000000005,-24.373094021454268
HAPPO,0.02,2,5,5.530503365990594,0.8845390796661377,0.5997600000000001,0.018356,0.08996400217555463,0.9100359978244453,91.98785517788784,-25.923037458568007,0.17992800000000003,-25.923037458568007
HAPPO,0.02,3,5,5.8998403650008555,0.9265184760093689,0.6,0.015649000000000003,0.09000000218458473,0.9099999978154154,103.32318013779354,-24.551924305763517,0.18000000000000002,-24.551924305763517
HAPPO,0.02,4,5,5.826419617104368,0.919771945476532,0.58976,0.018657,0.08846400198444723,0.9115359980155526,107.67821918946045,-24.900498670183005,0.17692800000000006,-24.900498670183005
HAPPO,0.03,0,5,5.303991747586764,0.8351624727249145,0.6,0.020092,0.09000000240050257,0.9099999975994976,88.57410710851778,-26.690516067671176,0.18,-26.690516067671176
HAPPO,0.03,1,5,5.642670400936483,0.9412501215934753,0.6,0.019916,0.09000000218339264,0.9099999978166073,100.44001389132319,-25.404049677773532,0.18000000000000002,-25.404049677773532
HAPPO,0.03,2,5,5.813730053464964,0.9514742493629456,0.56784,0.019101000000000003,0.08517600180909038,0.9148239981909096,112.10374372785085,-24.793620682070298,0.17035200000000006,-24.793620682070298
HAPPO,0.03,3,5,6.3320220560439155,0.9395077347755432,0.59876,0.016438,0.08981400197379291,0.9101859980262071,113.63636672857433,-23.103329698150088,0.17962800000000004,-23.103329698150088
HAPPO,0.03,4,5,5.649934394506424,0.9485361814498902,0.6,0.020649999999999998,0.09000000220187007,0.9099999977981298,105.64974566524339,-25.37908176244013,0.18000000000000005,-25.37908176244013
