variant,kappa,train_seed,episode,global_step,episode_reward_mean,on_ratio_mean,handover_ratio_mean,C_E_max,C_H_max,mu_E_mean_post_update,mu_H_mean_post_update,critic_loss_mean,actor_ue_loss_mean,actor_bs_loss_mean
jensen,0.015,2,1,10000,-244.72505867197154,0.8159333333333333,0.06703999999999999,0.022690000012516975,0.06430000066757202,0.0019711926967526474,0.004759709036443382,0.23641432269290172,-0.0036079426956233344,-0.20254538568691646
jensen,0.015,2,2,20000,-236.61691964815637,0.9553333333333334,0.04564,0.0369499996304512,0.0357000008225441,0.005214927407602469,0.00756587425712496,0.33400139470053475,-0.0028077971609456677,-0.1463564691742399
jensen,0.015,2,3,30000,-233.8018045771136,0.9949,0.031555,0.039650000631809235,0.02410000003874302,0.008819854507843653,0.009086260804906487,0.4932643910020212,-0.0027697699217057985,-0.1304408608201915
jensen,0.015,2,4,40000,-233.77021670426788,0.9986666666666667,0.03111,0.039889998733997345,0.022199999541044235,0.012459166968862215,0.0105660246219486,0.6478863239593794,-0.0016213142548104202,-0.10765750933942515
jensen,0.015,2,5,50000,-233.58070187080764,0.9978666666666666,0.027909999999999997,0.039889998733997345,0.0203000009059906,0.016091175998250645,0.011753669753670693,0.8067024914915214,-0.0021898161011300035,-0.11397601497916598
jensen,0.015,2,6,60000,-232.6660781264809,0.9986,0.017660000000000002,0.03991999849677086,0.008299999870359898,0.01972987937430541,0.012005622033029795,0.9382968413085017,-0.0024221100554141345,-0.11603649859788202
jensen,0.015,2,7,70000,-232.8546868016526,0.9989,0.01877,0.03994999825954437,0.009200000204145908,0.023371321459611256,0.012358903139829635,1.0818640391708967,-0.0021506331410093963,-0.10422852909512216
jensen,0.015,2,8,80000,-232.4996085562027,0.9989,0.016249999999999997,0.03990999981760979,0.00419999985024333,0.027012763544917107,0.012482140632346272,1.2091617222569127,-0.002512453862796006,-0.10965711168397389
jensen,0.015,2,9,90000,-232.72968411287619,0.9990666666666667,0.017995,0.03990999981760979,0.0071000000461936,0.03065572741130988,0.012764674238860607,1.3351999534570784,-0.002795588576287928,-0.10438841253908092
jensen,0.015,2,10,100000,-232.37545433566876,0.9990666666666667,0.013279999999999997,0.03999000042676926,0.003000000026077032,0.03429869065682093,0.012616789154708385,1.4476941987233853,-0.002216695757845087,-0.09664381518031624
jensen,0.015,2,11,110000,-232.4407071555391,0.9994333333333333,0.013460000000000003,0.039980001747608185,0.002199999988079071,0.037945001075665154,0.012485335720703006,1.5872705865472545,-0.0021023455448743377,-0.09608574027322303
jensen,0.015,2,12,120000,-232.60795159458746,0.9992666666666667,0.015325,0.03994999825954437,0.007300000172108412,0.041589791576067604,0.01252413266338408,1.6976640323395995,-0.0015675730963496941,-0.09266308696551508
jensen,0.015,2,13,130000,-232.69955133143048,0.9993333333333333,0.017835,0.03996000066399574,0.009100000374019146,0.045235189298788704,0.01279206033796072,1.8067350408430027,-0.0018756969159180186,-0.09361458743503907
jensen,0.015,2,14,140000,-232.65007804908814,0.9989333333333333,0.016355,0.03991999849677086,0.006399999838322401,0.04887693623701731,0.012924883048981428,1.8966623941440197,-0.0019670549339520496,-0.0876739603803269
jensen,0.015,2,15,150000,-232.8584755380525,0.9991,0.01771,0.039969999343156815,0.006399999838322401,0.05252020309368769,0.013181399833410979,2.024869595567193,-0.001003660191781819,-0.07922515452137995
jensen,0.015,2,16,160000,-232.3223645537268,0.9992000000000001,0.011770000000000001,0.03994999825954437,0.0003000000142492354,0.05616438388824463,0.012895671231672168,2.107486721236386,-0.0017339092223607358,-0.08482662895384917
jensen,0.015,2,17,170000,-232.20567477490832,0.9994666666666666,0.011465,0.039980001747608185,0.00039999998989515007,0.05981099853912989,0.012582100089639425,2.2049108838935965,-0.0014313059424262353,-0.08097633049466729
