variant,kappa,episode,mu_E_mean_mean,mu_E_mean_std,mu_H_mean_mean,mu_H_mean_std,C_E_max_raw_mean,C_E_max_raw_std,C_H_max_raw_mean,C_H_max_raw_std,C_E_running_signed_mean,C_E_running_signed_std,C_H_running_signed_mean,C_H_running_signed_std
pf,0.015,14,2.5161866744359336,0.41494440578963504,0.06877326170603434,0.002115934057712344,0.016269999866684277,0.011193315041474259,0.058400001376867294,0.009601562066881527,0.02012976188589597,0.0029161943655541815,0.05616428552284127,0.0017017550978223111
pf,0.015,15,2.720619095696343,0.4997405890649762,0.07384669358531633,0.0029274165297635416,0.023010000276068848,0.009088416155621481,0.06483333309491475,0.009188218086730194,0.020299777766275735,0.0033588085073664076,0.05654666647315026,0.0019861299645468136
pf,0.015,16,2.956494755215115,0.5587190698722962,0.07908824669818083,0.003355501284433082,0.02621000011761983,0.00659809793508929,0.06643333286046982,0.008831949512677668,0.02063874993958355,0.0035574084146213886,0.056664583195621766,0.0021361597182716066
pf,0.015,17,3.2114596366882324,0.559012280983421,0.08473070214192073,0.0034427177500133714,0.02884333332379659,0.0003082749162163198,0.07139999916156133,0.0024248691621866873,0.021086078360859378,0.003324995359219415,0.05697254894995222,0.002129138608411696
pf,0.015,18,3.4855339262220597,0.5443830953620106,0.09049350358545781,0.0036282704361474192,0.030666666726271313,0.002768796991601279,0.0763666679461797,0.003523257838572855,0.021599629587769783,0.0030687839214287114,0.05767962943624567,0.0018157521627863804
pf,0.015,19,3.7078078587849936,0.4889739594771114,0.09609944447875023,0.003325570473253136,0.02515333394209544,0.008561591180703319,0.06790000076095264,0.008199999108910632,0.02175842103417636,0.0025839229226457465,0.057771929588757064,0.0017123987271401705
pf,0.015,20,3.860673109690348,0.40287591393644334,0.10105283421774706,0.002756363155894732,0.01746666708883519,0.014821081032516703,0.061633333563804626,0.01719486235963441,0.021536666654477205,0.002017497466437642,0.05761666645606359,0.0014629199582754289
pf,0.015,21,4.0556015438503685,0.34402921056125857,0.10610892213881017,0.002582250437003626,0.021993333473801613,0.00679560351591228,0.06423333287239075,0.002650157388325921,0.02155317461010926,0.0016225624938371738,0.05731904743209718,0.0014441614047786564
pf,0.015,22,4.290452798207601,0.3288162238928466,0.1116848894705375,0.0025591846294859104,0.026273333157102268,0.0018153328788008973,0.07073333362738292,0.0033560860490815273,0.02173075757507997,0.0014504193182190196,0.057421211887038116,0.0014432830077194825
pf,0.015,23,4.521429379781087,0.28658616684364935,0.11732567101716995,0.002524341008198912,0.02635000025232633,0.00429884852022562,0.07536666840314865,0.0012096839221092052,0.021870579610180546,0.0011724566040643071,0.057778260792079185,0.0011396697166789547
pf,0.015,24,4.779619799719916,0.2651205949762703,0.12313578923543293,0.0026268245455106365,0.028666666398445766,0.0041488596929859815,0.07456666727860768,0.0014011910021693784,0.02213097212289641,0.0010524287811145637,0.05805277762313684,0.0009504597278993394
pf,0.015,25,5.019674354129368,0.2525893125257937,0.1289215667794148,0.0027384694015616445,0.02655999983350436,0.003549831449734312,0.07356666525204976,0.006801714148431417,0.022305466569184015,0.000942572664090635,0.05831200023492178,0.000918015366091343
pf,0.015,26,5.23374260796441,0.2583795438665379,0.13455306738615036,0.00277303118891938,0.02404666692018509,0.0007259012781709816,0.07033333430687587,0.00173877480964481,0.022372435813453287,0.0009340281421459604,0.05836282078272257,0.0009457342429304048
pf,0.015,27,5.422098318735759,0.21679955296906936,0.13999301642179487,0.0026074260341109766,0.020936666522175074,0.012652783511247543,0.06876666595538457,0.015602031401883772,0.022314691277261087,0.0006858717205893837,0.058430864533156525,0.0013782619861691047
pf,0.015,28,5.6428811285230855,0.20413484778887497,0.1455829821527004,0.0025390252508256683,0.02457999996840954,0.00866358470592304,0.07050000131130219,0.01115302520182528,0.022380595166829328,0.0006185866564059051,0.0585595238066855,0.0013684505480254434
pf,0.015,29,5.876170370313855,0.19982054757913897,0.15116579681634904,0.0025265666151200643,0.026116666073600452,0.003317172175555162,0.07073333362738292,0.005029249863725933,0.022483218316090476,0.0006085964086909635,0.05869310340662112,0.0009810389814613575
pf,0.015,30,6.055296050177681,0.17077822356983052,0.15645664408802987,0.002480194120140906,0.02068333327770233,0.0030473806255170485,0.06549999862909317,0.0023259385606434024,0.022411222235273778,0.0004685412411154351,0.05867555563648542,0.0011021812185267933
