method,kappa,checkpoint_episode,n_train_seeds,n_eval_seeds_per_model,D_E_mean,D_E_normalized_by_budget_mean,D_E_normalized_by_budget_std,D_E_std,D_H_mean,D_H_normalized_by_budget_mean,D_H_normalized_by_budget_std,D_H_std,energy_utilization_mean_mean,energy_utilization_mean_std,handover_utilization_mean_mean,handover_utilization_mean_std,terminal_handover_ratio_mean,terminal_handover_ratio_std,terminal_on_ratio_mean,terminal_on_ratio_std
Jensen-HAPPO,0.015,10,3,5,239.9733333334012,0.39995555555566864,5.091750772172595e-05,0.03055050463302665,22.262346666666673,0.14941172259507832,0.13119793402052546,19.548492169058292,1.000000000000113,0.0,0.6008724832214766,0.1923759213436878,0.008953000000000001,0.0028664012280209474,0.6,0.0
Jensen-HAPPO,0.015,25,3,5,239.90000000006785,0.39983333333344645,0.0001527525231652142,0.09165151389912338,38.938066666666664,0.26132930648769576,0.09010978407499746,13.426357827174625,1.000000000000113,0.0,0.7608053691275166,0.09448560891177193,0.011335999999999999,0.0014078355727854003,0.6,0.0
Jensen-HAPPO,0.015,30,3,5,239.88666666673453,0.3998111111112242,0.00015752718754172648,0.0945163125250474,32.99851999999999,0.22146657718120802,0.11880993330081305,17.70268006182114,1.000000000000113,0.0,0.6844966442953021,0.1218176270299735,0.010199,0.0018150826427466033,0.6,0.0
HeLyMARL,0.015,10,3,5,29.493333333355494,0.049155555555592485,0.03055181997367676,18.331091984206054,9.135306666666667,0.06131078299776285,0.01292603140925447,1.9259786799789165,0.9698370370371432,0.05224378435868197,0.8481879194630871,0.05574386106141153,0.012637999999999998,0.0008305835298150345,0.5819022222222222,0.031346270615202065
