variant,kappa,train_seed,episode,mu_E_mean,mu_H_mean,C_E_max_raw,C_H_max_raw,C_E_running_signed,C_H_running_signed,dual_history_path
jensen,0.015,0,1,0.2339079628388087,0.004759252583608031,0.026340000331401825,0.061500001698732376,0.026340000331401825,0.061500001698732376,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,2,0.5860022902488708,0.007878532563336194,0.03874000161886215,0.044199999421834946,0.03254000097513199,0.04844999872148037,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,3,0.9471035997072855,0.010821171989664435,0.039639998227357864,0.04149999842047691,0.03490666672587395,0.04333333236475786,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,4,1.3083266417185466,0.011648689536377788,0.039659999310970306,0.015699999406933784,0.03607750032097101,0.03440000023692846,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,5,1.6724403699239094,0.012379899248480796,0.039900001138448715,0.012199999764561653,0.03684200048446655,0.029500000178813934,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,6,2.0366150538126626,0.012994717713445425,0.039969999343156815,0.010400000028312206,0.03733666737874349,0.025666666915640235,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,7,2.400667985280355,0.013505012542009354,0.039889998733997345,0.011699999682605267,0.03770142900092261,0.0229000001813152,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,8,2.7650252183278403,0.013821778772398829,0.0399399995803833,0.008200000040233135,0.0379812503233552,0.020649999962188303,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,9,3.129169305165609,0.014223442040383815,0.03996000066399574,0.010400000028312206,0.03820111147231526,0.018711111223739054,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,10,3.4934049447377524,0.014506888529285788,0.039980001747608185,0.008100000210106373,0.03837000019848347,0.017460000119172037,/home/wjddustj/LyMARL_extended/results/jensen_convergence_50.0/kappa_0.015/train_seed_0/dual_history.npz
