algorithm,train_seed,trained_num_users,eval_num_users,kappa,n_eval_seeds,throughput,jfi,objective,on_ratio,ho_ratio,request_dwell,request_switch,conditional_ho,same_bs
MAPPO,0,20,30,0.015,5,5.411891922785186,0.9267304489766348,-51.53688863557428,0.6,0.010027999999999999,1.5942625894511941,0.6273894056072274,0.16741235392320536,0.8325876460767947
MAPPO,1,20,30,0.015,5,6.041257319408447,0.931623577932522,-48.192087249845756,0.6,0.008501333333333333,1.5796921836823012,0.6330733073307331,0.14192543127434615,0.8580745687256538
MAPPO,2,20,30,0.015,5,5.383171817866023,0.9284395440399663,-51.704533636456446,0.6,0.009360666666666666,1.5781234322220947,0.6337560422708938,0.15627156371730663,0.8437284362826933
HAPPO,0,20,30,0.015,5,5.9677110998763405,0.9271221058242938,-48.5572036061149,0.6,0.008436,1.6206130533111782,0.6171017101710171,0.14083472454090148,0.8591652754590985
HAPPO,1,20,30,0.015,5,6.301303076050267,0.9497987683245371,-46.90213047314705,0.5759466666666666,0.009054000000000001,1.8057548028979806,0.5543260992765944,0.15748772163473274,0.8425122783652672
HAPPO,2,20,30,0.015,5,6.187276536364425,0.9450538141808489,-47.4624122152379,0.6,0.007444666666666667,1.6508605886835226,0.6059039237257059,0.12428491930996104,0.8757150806900389
LyMARL,0,20,30,0.015,5,5.862991754549645,0.9228563191208108,-49.109563299355145,0.5351266666666665,0.009087333333333333,1.5958214454234307,0.6266826682668267,0.17037560569802496,0.829624394301975
LyMARL,1,20,30,0.015,5,6.063106176680662,0.9190008833494353,-48.10904253264773,0.5781533333333334,0.008260666666666666,1.558604392051127,0.6416134946828016,0.14323373155523506,0.8567662684447649
LyMARL,2,20,30,0.015,5,6.215399243521044,0.9200099099592778,-47.35975187757666,0.5986133333333334,0.008468,1.5134819120005498,0.6607320732073207,0.1416967361514446,0.8583032638485554
