algorithm,trained_num_users,eval_num_users,kappa,n_train_seeds,throughput_mean,throughput_std,jfi_mean,jfi_std,objective_mean,objective_std,on_ratio_mean,on_ratio_std,ho_ratio_mean,ho_ratio_std,request_dwell_mean,request_dwell_std,request_switch_mean,request_switch_std,conditional_ho_mean,conditional_ho_std,same_bs_mean,same_bs_std
MAPPO,20,30,0.015,3,5.612107020019884,0.3036815170597986,0.9289311903163745,0.0020276365207740348,-50.47783650729216,1.6177172110761073,0.6,0.0,0.009296666666666667,0.0006248998734612221,1.5840260684518632,0.007266590989511747,0.6314062517362848,0.0028539821732707833,0.15520311630495273,0.01043238519968652,0.8447968836950471,0.010432385199686476
HAPPO,20,30,0.015,3,6.152096904097011,0.13844157982523236,0.9406582294432265,0.009765539050719776,-47.64058209816662,0.6873258078743221,0.5919822222222222,0.011338850073426967,0.008311555555555556,0.0006628741757222909,1.6924094816308937,0.08109294970949343,0.5924439110577725,0.02733829166276596,0.14086912182853176,0.01355500910941569,0.859130878171468,0.013555009109415685
LyMARL,20,30,0.015,3,6.047165724917117,0.1443106211674458,0.9206223708098413,0.001632467961279311,-48.192785903193176,0.7168076064651018,0.5706311111111112,0.02645848422820791,0.008605333333333333,0.00035117875579043567,1.5559692498250357,0.03366657761032671,0.6430094120523163,0.013935612250090757,0.15176869113490155,0.013172029478845165,0.8482313088650985,0.013172029478845172
