algorithm,train_seed,eval_seed,trained_num_users,eval_num_users,kappa,throughput,jfi,objective,on_ratio,ho_ratio,request_dwell,request_switch,conditional_ho,same_bs
LyMARL,1,2000,20,30,0.015,5.967783787000549,0.9114325511907364,-48.65630441985804,0.5631333333333334,0.00882,1.5606494643432487,0.6407874120745408,0.1569022770398482,0.8430977229601518
LyMARL,1,2001,20,30,0.015,6.243349078718435,0.9097776563210944,-47.19757379881775,0.5784666666666667,0.007963333333333333,1.562806871606465,0.6399039903990399,0.13790117755714615,0.8620988224428539
LyMARL,1,2002,20,30,0.015,6.171656769102555,0.9319652876379505,-47.510770898389204,0.5937666666666667,0.008113333333333334,1.5532489493192316,0.6438043804380438,0.1368722937637069,0.8631277062362931
LyMARL,1,2003,20,30,0.015,5.989556612790461,0.9177314484798049,-48.48869764529211,0.5797333333333333,0.008226666666666667,1.557783754465959,0.641930859752642,0.14214952194447644,0.8578504780555236
LyMARL,1,2004,20,30,0.015,5.9431846357913125,0.9240974731175905,-48.69186590088152,0.5756666666666667,0.00818,1.558532920520731,0.6416408307497417,0.14234338747099767,0.8576566125290024
LyMARL,2,2000,20,30,0.015,6.201211189819169,0.9143025791528545,-47.48043454282952,0.5994,0.008886666666666666,1.5143236368040311,0.6603560356035604,0.14850713012477718,0.8514928698752229
LyMARL,2,2001,20,30,0.015,6.431589890435531,0.9085409492693378,-46.31628191070401,0.5991,0.008213333333333333,1.514201439886534,0.6604127079374604,0.13732374742239314,0.8626762525776068
LyMARL,2,2002,20,30,0.015,6.268853326807099,0.9286999220359131,-47.05028275668022,0.5955666666666667,0.00837,1.512460664320056,0.6611761176117612,0.14077479396759546,0.8592252060324046
LyMARL,2,2003,20,30,0.015,6.1023670622551,0.9228143949376488,-47.91540472390509,0.599,0.008666666666666666,1.516268905839513,0.6595192852618595,0.14492753623188406,0.855072463768116
LyMARL,2,2004,20,30,0.015,6.072974748288324,0.925691704400635,-48.03635545376449,0.6,0.008203333333333333,1.5101549131526153,0.6621962196219622,0.13695047301057317,0.8630495269894268
