method,kappa,checkpoint_episode,n_train_seeds,n_eval_seeds_per_model,D_E_mean,D_E_normalized_by_budget_mean,D_E_normalized_by_budget_std,D_E_std,D_H_mean,D_H_normalized_by_budget_mean,D_H_normalized_by_budget_std,D_H_std,energy_utilization_mean_mean,energy_utilization_mean_std,handover_utilization_mean_mean,handover_utilization_mean_std,terminal_handover_ratio_mean,terminal_handover_ratio_std,terminal_on_ratio_mean,terminal_on_ratio_std
PF-HAPPO,0.015,10,3,5,190.96000000006737,0.318266666666779,0.06329974547956609,37.97984728773965,117.47236666666667,0.7884051454138702,0.01987290858262164,2.9610633788106213,1.000000000000113,0.0,1.0,0.0,0.014899999999999995,0.0,0.6,0.0
PF-HAPPO,0.015,25,3,5,188.77333333340093,0.3146222222223349,0.02279927711654588,13.67956626992753,121.19243333333334,0.8133720357941834,0.01845770175021732,2.7501975607823796,1.000000000000113,0.0,1.0,0.0,0.014899999999999995,0.0,0.6,0.0
PF-HAPPO,0.015,30,3,5,159.16666666673396,0.2652777777778899,0.055682047110091365,33.40922826605482,119.30813333333333,0.8007257270693512,0.01856988177496627,2.766912384469977,1.000000000000113,0.0,1.0,0.0,0.014899999999999995,0.0,0.6,0.0
HeLyMARL,0.015,10,3,5,29.493333333355494,0.049155555555592485,0.03055181997367676,18.331091984206054,9.135306666666667,0.06131078299776285,0.01292603140925447,1.9259786799789165,0.9698370370371432,0.05224378435868197,0.8481879194630871,0.05574386106141153,0.012637999999999998,0.0008305835298150345,0.5819022222222222,0.031346270615202065
