variant,kappa,episode,mu_E_mean_mean,mu_E_mean_std,mu_H_mean_mean,mu_H_mean_std,C_E_max_raw_mean,C_E_max_raw_std,C_H_max_raw_mean,C_H_max_raw_std,C_E_running_signed_mean,C_E_running_signed_std,C_H_running_signed_mean,C_H_running_signed_std
jensen,0.015,1,0.0024950791331421994,0.0006168620892885882,0.004891771012141059,0.00022913346506885405,0.02805999976893266,0.006405598489570401,0.06426666801174481,0.002750151489918689,0.02805999976893266,0.006405598489570401,0.06426666801174481,0.002750151489918689
jensen,0.015,2,0.005927068129595783,0.0007477484598827826,0.00784003985269616,0.0005234270953554528,0.03825999920566877,0.0011585764796386217,0.039633333683013916,0.009810367840371157,0.03309499938040972,0.0036032932144609057,0.04894999973475933,0.004179712515462044
jensen,0.015,3,0.009547514220078787,0.0007582786123836326,0.010063945502042771,0.0008469065667475636,0.03973666702707609,7.571861652084305e-05,0.03243333349625269,0.009779741648271065,0.03524999962084823,0.002478872634309946,0.04148888919088575,0.00157209494033187
jensen,0.015,4,0.013183276375962628,0.0007542849824154135,0.01137193750279645,0.0007905649775812054,0.039886667082707085,1.5274860616604108e-05,0.020966666440169018,0.006045108314551941,0.03639749980842074,0.0018403444635069184,0.03575000042716662,0.0020504577429739336
jensen,0.015,5,0.01682187823785676,0.0007592906136355458,0.0124419743505617,0.00104070374492099,0.039919999738534294,2.6458242593961737e-05,0.018833333626389503,0.008594377621574337,0.03708866648375988,0.0014946535511689701,0.03114000027999282,0.003050836257178833
jensen,0.015,6,0.020462813062800303,0.000759395051001586,0.01307581108994782,0.0011665297939436887,0.03992333263158798,3.5119864636829304e-05,0.011500000022351742,0.003538361298271953,0.03755888849910763,0.001242920315809189,0.02775000025414758,0.0024253868389223113
jensen,0.015,7,0.024105574107832376,0.0007606001873737326,0.013420724185804525,0.0010156023093496386,0.039953332394361496,5.774890902542119e-06,0.0092333333256344,0.0028501462412763526,0.037893332984475864,0.0010582489031488098,0.02446190499523211,0.0017660249918588873
jensen,0.015,8,0.027747929096221924,0.0007606782175111587,0.013780243089422583,0.001137421504132118,0.03993333255251249,2.0815998289086724e-05,0.008566666704912981,0.005468394179035521,0.03814166636827091,0.0009221734020320138,0.02195000020825925,0.0016245673986121695
jensen,0.015,9,0.03138784960740142,0.0007613245665515002,0.014264825452119113,0.0013096339462655806,0.03992333263158798,2.3093111218098594e-05,0.010433333305021128,0.0031659646337200897,0.038332962810441296,0.0008179547860996094,0.020348148342842858,0.0015357604189384004
jensen,0.015,10,0.03503111708495352,0.0007617969859124155,0.014429446449503303,0.0015742180134731474,0.039963332315286,2.309526201545522e-05,0.006233333454777797,0.004923752090306355,0.03849233320603768,0.0007331468938428438,0.018380000174511222,0.0016382613551453032
jensen,0.015,11,0.0386752982934316,0.0007601775827990054,0.014389280276373028,0.0016671169262978626,0.03996333355704943,1.52768928804039e-05,0.0031999999191612005,0.0011789825152034388,0.03862151509207307,0.000661391806644785,0.016690909252219804,0.0013496556641371656
jensen,0.015,12,0.0423203921980328,0.0007598061352921324,0.014372239913791418,0.0016196888846906196,0.03995999942223231,1.0000541864041991e-05,0.004800000072767337,0.0022912879690102075,0.038731666540520064,0.0006073462729204546,0.01521666681219358,0.0011196478145296018
jensen,0.015,13,0.04596426876054869,0.0007587945115000737,0.014443596002335348,0.001496893236360659,0.03996333355704943,2.5166491450110637e-05,0.005033333431735325,0.004499259363741408,0.03882025635968416,0.0005576585425704825,0.014056410391229944,0.0007232951554833348
jensen,0.015,14,0.049608753787146666,0.000761694987479719,0.014406929009904465,0.0013047961926335552,0.03994999950130781,2.6458242593961737e-05,0.004866666626185179,0.0015502687236021463,0.03889857139438391,0.0005198425403479628,0.012928571431118705,0.0007025827231303903
jensen,0.015,15,0.053253846863905586,0.0007621708503338866,0.014587981672957539,0.001272938788356605,0.039966666450103126,1.5276892880403898e-05,0.006033333328862985,0.000550756922358216,0.03896822213298745,0.00048434030325728434,0.012166666777597535,0.000526919773413192
jensen,0.015,16,0.056898941182427935,0.0007630817301939695,0.014469460692877571,0.0014377743979222175,0.03996333355704943,1.52768928804039e-05,0.002166666653162489,0.002274496235714999,0.03902666654903442,0.0004563845273084529,0.011379166770590624,0.0005939911853472321
jensen,0.015,17,0.060544845544629626,0.0007619813826992869,0.014346679563944538,0.0017382757198263553,0.03997333471973737,1.1547631007727611e-05,0.0025333333760499954,0.004406056510593426,0.03908078427262166,0.0004281747873848295,0.010680392254417873,0.0008317308705447627
jensen,0.015,18,0.06419166343079673,0.0007629030297872613,0.01437102276831865,0.00194316781466623,0.03997000058492025,1.732252191026973e-05,0.006133333450028052,0.005217598542579836,0.03912962955871114,0.0004036156073509357,0.010114814861919041,0.000932974930370102
jensen,0.015,19,0.06783503293991089,0.0007617813284063744,0.014388975966721772,0.0019090325547805422,0.03995666652917862,2.3093111218098594e-05,0.0048999999586764416,0.004158124545182671,0.03916894732729385,0.00037948009062352243,0.009663157940131464,0.0008850245914181419
jensen,0.015,20,0.07148083713319568,0.0007610584713210232,0.014437662359947959,0.001932240555929899,0.03994999950130781,1.0000541864041991e-05,0.005799999926239252,0.003223352104059919,0.03920766658460101,0.0003605710264631823,0.009203333375868775,0.0008554140374155366
jensen,0.015,21,0.07512623402807449,0.0007580866997555378,0.014410732624431452,0.0021671875889366352,0.03997000058492025,1.7320371112913105e-05,0.0035333333847423396,0.002122106014258018,0.03924301583024244,0.0003434953904424264,0.008657142898069679,0.0009320203722969933
jensen,0.015,22,0.07877092228995429,0.0007578270731224482,0.014878274671112498,0.002372810063973886,0.039956667770942055,2.5166491450110637e-05,0.01080000028014183,0.004942671481877122,0.03927378788251768,0.0003274386783258755,0.008540909135207943,0.0010371108944160618
jensen,0.015,23,0.08241642183727688,0.0007578159521092134,0.014583265176042914,0.00235108077694177,0.03995999942223231,1.0000541864041991e-05,0.0011333333289561172,0.0012897028129853674,0.039302898570895195,0.00031334217882167,0.008100000042443002,0.0009402568890262128
jensen,0.015,24,0.0860614139172766,0.0007594823338571118,0.014400691088909906,0.002346761290642245,0.039953332394361496,5.774890902542119e-06,0.0016333333527048428,0.0003785938615781757,0.039329722187378346,0.0003000650594412302,0.007695833374075139,0.0008525186469962597
jensen,0.015,25,0.08970650782187779,0.0007598226292058896,0.014559530653059483,0.0023851528898227517,0.039966667691866554,2.309526201545522e-05,0.006033333484083414,0.0015044378877818257,0.03935346665481726,0.00028922572302324826,0.007454666707781142,0.0008915992266772647
jensen,0.015,26,0.09335109425915612,0.0007594062036213806,0.014800376367444794,0.002632690210773949,0.03995333363612493,1.1547631007727611e-05,0.0070333334151655436,0.004793050580824949,0.039375897425298505,0.0002771337178629803,0.007284615428943653,0.000862542271671263
jensen,0.015,27,0.09699415829446582,0.0007635235034772106,0.014831718290224671,0.0024010602570605495,0.03995666652917862,2.3093111218098594e-05,0.005699999863281846,0.002457641063271957,0.039394444406584454,0.0002678562882509143,0.00697777782014232,0.0008205521199684916
jensen,0.015,28,0.10064087559779485,0.0007616594509656138,0.014549945512165626,0.0024263713015435758,0.03997333347797394,2.0818086141818135e-05,0.0005666666353742281,0.0013576941366678353,0.03941416662807266,0.00025724716931895675,0.006729761944977024,0.0008214000374245344
jensen,0.015,29,0.10428647696971893,0.0007615199899010348,0.014690831893434128,0.0025400317430671207,0.03997666761279106,1.5275267030426734e-05,0.006866666759985189,0.00765658767746047,0.039432068944148635,0.00024766454955494694,0.006551724174642004,0.0007958647087874952
jensen,0.015,30,0.10793126540051566,0.0007616872563961604,0.014830653369426726,0.002230982421937098,0.03997000058492025,1.732252191026973e-05,0.0062333333771675825,0.0056536124788300795,0.03944877777248621,0.0002411762123048677,0.0063055555890767015,0.0006429647225720096
