variant,kappa,train_seed,episode,mu_E_mean,mu_H_mean,C_E_max_raw,C_H_max_raw,C_E_running_signed,C_H_running_signed,dual_history_path
jensen,0.015,0,1,0.00233907966564099,0.004759252583608031,0.026340000331401825,0.061500001698732376,0.026340000331401825,0.061500001698732376,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,2,0.005860327122112115,0.00844359970651567,0.038679998368024826,0.05079999938607216,0.032509999349713326,0.05364999920129776,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,3,0.009489597752690315,0.010571501683443785,0.03976999968290329,0.029999999329447746,0.03492999946077665,0.04196666615704695,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,4,0.013126171194016933,0.011403583688661456,0.039900001138448715,0.014399999752640724,0.036172499880194664,0.03420000011101365,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,5,0.016767612968881924,0.011933048767969013,0.0399399995803833,0.009600000455975533,0.03692599982023239,0.02850000010803342,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,6,0.020412402227520943,0.012902517803013325,0.03996000066399574,0.015300000086426735,0.03742499959965547,0.026300000104432304,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,7,0.02405536671479543,0.013520531356334686,0.03994999825954437,0.01209999993443489,0.037778571248054504,0.02408571441524795,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,8,0.027699242656429608,0.0142563053406775,0.03994999825954437,0.014700000174343586,0.03804999962449074,0.02243750012712553,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,9,0.031332469234863915,0.014849671442061663,0.03990999981760979,0.01080000028014183,0.038245555427339345,0.021144444588571787,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
jensen,0.015,0,10,0.034975431859493256,0.01545353545807302,0.03994999825954437,0.011900000274181366,0.03840800002217293,0.01971000013872981,/home/wjddustj/LyMARL_extended/results/jensen_convergence/kappa_0.015/train_seed_0/dual_history.npz
