algorithm,kappa,train_seed,eval_seed,n_bs,n_users,throughput,jfi,objective,on_ratio,ho_ratio,request_dwell,request_switch,conditional_ho,same_bs
LyMARL,0.015,0,2000,5,20,8.405881657819586,0.87156338018607,-17.612953501157712,0.57174,0.0148,1.4828534590012274,0.6790729072907291,0.10361606048937586,0.8963839395106241
LyMARL,0.015,0,2001,5,20,8.340618466854627,0.8570378458958045,-17.709199540393072,0.58368,0.01484,1.5190767535548653,0.6605010501050105,0.10176930462213687,0.8982306953778632
LyMARL,0.015,0,2002,5,20,8.64126434733316,0.8577913357835294,-17.11798718060072,0.57752,0.014885,1.4925600761460864,0.6726472647264726,0.10316745217632381,0.8968325478236762
LyMARL,0.015,0,2003,5,20,8.610829665240523,0.8663127627173424,-17.156977973296772,0.59084,0.0148,1.491708226790455,0.6757075707570757,0.1002642097418874,0.8997357902581126
LyMARL,0.015,0,2004,5,20,8.583665741285744,0.8663552338691212,-17.177139716774462,0.59186,0.01484,1.46426196759174,0.6866086608660866,0.10036181652182734,0.8996381834781727
LyMARL,0.015,1,2000,5,20,7.84642232099797,0.8738960647626508,-19.008175319895464,0.52974,0.0149,1.5093946841831927,0.6672867286728673,0.11259304038991952,0.8874069596100804
LyMARL,0.015,1,2001,5,20,7.865715917364453,0.8574747040995403,-18.975033338234734,0.53662,0.01489,1.5484439151284686,0.6488898889888989,0.11107381298720674,0.8889261870127932
LyMARL,0.015,1,2002,5,20,8.06362243109289,0.8660092069452784,-18.58227910308887,0.53224,0.014885,1.515452328551465,0.6643064306430643,0.11195096269554754,0.8880490373044525
LyMARL,0.015,1,2003,5,20,8.051525259202615,0.8865903765498879,-18.39148794518955,0.5277,0.01489,1.4943845491731005,0.6728222822282228,0.11295277830457046,0.8870472216954295
LyMARL,0.015,1,2004,5,20,7.948844668546467,0.853679466444697,-18.81973302369495,0.54464,0.014895,1.547949780934908,0.6485948594859486,0.10947376157577539,0.8905262384242246
LyMARL,0.015,2,2000,5,20,8.331453316036866,0.8525402938573567,-17.78173208089047,0.54792,0.014795,1.562217538352963,0.6434143414341434,0.10808737580362361,0.8919126241963764
LyMARL,0.015,2,2001,5,20,8.149270025752195,0.849323026134989,-18.181689616359392,0.56432,0.0149,1.5701111229301783,0.6382738273827383,0.10568875017733012,0.8943112498226699
LyMARL,0.015,2,2002,5,20,8.208939306507855,0.8399497845213931,-18.171581240196222,0.5568,0.01488,1.5571093270696639,0.645059505950595,0.10697340043134436,0.8930265995686556
LyMARL,0.015,2,2003,5,20,8.396451426136062,0.8476637507914034,-17.651651614998748,0.55258,0.014765,1.6075216578531262,0.6288028802880288,0.10695787605490963,0.8930421239450904
LyMARL,0.015,2,2004,5,20,8.23225064764358,0.8431294587877394,-18.01466895106417,0.5509,0.01488,1.5920040257227228,0.6296479647964797,0.10811989100817439,0.8918801089918256
LyMARL,0.02,0,2000,5,20,8.271761845726747,0.9175833238183536,-17.79963190216945,0.56788,0.01955,1.3549715205373327,0.7395939593959396,0.13780221329386058,0.8621977867061394
LyMARL,0.02,0,2001,5,20,8.101912861266479,0.9070571882781648,-18.203556465207775,0.56544,0.019525,1.343917792923378,0.7452095209520953,0.13822030298739912,0.8617796970126008
LyMARL,0.02,0,2002,5,20,8.260023616613374,0.9138368390186429,-17.810097178320262,0.55428,0.01964,1.360839338062842,0.7368486848684869,0.14183577670253483,0.8581642232974651
LyMARL,0.02,0,2003,5,20,8.565902292963626,0.8980438532830359,-17.173623890824185,0.57086,0.01953,1.3502904891093048,0.7424942494249425,0.13694211688812538,0.8630578831118746
LyMARL,0.02,0,2004,5,20,8.256017413589756,0.9180760031796634,-17.80401573405287,0.56444,0.01969,1.3572212280236484,0.7383288328832883,0.13963548684490462,0.8603645131550954
LyMARL,0.02,1,2000,5,20,8.180334673029774,0.9063061990008467,-18.006173076298627,0.5434,0.019745,1.3836261946452308,0.7254225422542254,0.145451197053407,0.854548802946593
LyMARL,0.02,1,2001,5,20,8.025036974227664,0.9070827134720354,-18.35482165199471,0.55066,0.019765,1.3833756475105208,0.7245024502450245,0.14367753425653326,0.8563224657434667
LyMARL,0.02,1,2002,5,20,8.166790891245334,0.8933220436712457,-18.13133832895755,0.54798,0.019875,1.4095217299096372,0.7118161816181618,0.145184265312831,0.854815734687169
LyMARL,0.02,1,2003,5,20,8.370979389808959,0.8938316721935697,-17.595128252183564,0.55208,0.01974,1.3895462019155256,0.7222572257225722,0.14312645011600927,0.8568735498839908
LyMARL,0.02,1,2004,5,20,8.211376966018742,0.8997125831329533,-17.96720602078976,0.55414,0.01975,1.3784260897731269,0.7265726572657266,0.14266623325026184,0.8573337667497382
LyMARL,0.02,2,2000,5,20,8.271947954324096,0.915462845692457,-17.814947243179603,0.55672,0.019725,1.3646137136060534,0.7350935093509351,0.14182484900776532,0.8581751509922346
LyMARL,0.02,2,2001,5,20,8.228861188776241,0.9075573265835646,-17.879049289195578,0.56492,0.01968,1.3456321815387136,0.7449344934493449,0.13944590094239354,0.8605540990576065
LyMARL,0.02,2,2002,5,20,8.463186736068753,0.9061465200395645,-17.46032780123379,0.55526,0.01978,1.3422871828957157,0.7466746674667467,0.14259452834949357,0.8574054716505064
LyMARL,0.02,2,2003,5,20,8.448000467297812,0.8842651763199945,-17.410623270649573,0.56022,0.019775,1.3588361806686549,0.7383538353835384,0.14129541638383766,0.8587045836161623
LyMARL,0.02,2,2004,5,20,8.277330336069337,0.8975905845417287,-17.804698582434405,0.56434,0.01978,1.3696583452916173,0.7322082208220823,0.14029861332765897,0.8597013866723411
