variant,kappa,episode,mu_E_mean_mean,mu_E_mean_std,mu_H_mean_mean,mu_H_mean_std,C_E_max_raw_mean,C_E_max_raw_std,C_H_max_raw_mean,C_H_max_raw_std,C_E_running_signed_mean,C_E_running_signed_std,C_H_running_signed_mean,C_H_running_signed_std
pf,0.03,1,0.23672771784994337,0.041692105051485,0.004361849441193044,0.00040964730189965275,0.02728666675587495,0.004466143697915121,0.058733334143956505,0.005217598094665418,0.02728666675587495,0.004466143697915121,0.058733334143956505,0.005217598094665418
pf,0.03,2,0.4186730417940352,0.08515091924392033,0.00817734565741072,0.00015838861869356565,0.021946666141351063,0.00863828929559473,0.05023333306113879,0.007778387760384871,0.024196666665375233,0.004852693723396812,0.05140000022947788,0.0007762088560446922
pf,0.03,3,0.6297997898525661,0.07437113354314916,0.012115775095298884,8.538677677331085e-05,0.025343333681424458,0.00043878671572233793,0.05373333394527435,0.003875993886716598,0.02371000001827876,0.0032297216259799763,0.0493111109568013,0.0016063533320094148
pf,0.03,4,0.8041277130444845,0.015670267234561736,0.015846982924267648,0.00017622840219457312,0.02099000010639429,0.006657800068663323,0.04976666594545046,0.0013428833809160945,0.022781666601076722,0.0010074175203469606,0.04812499973922968,0.0019762655416385782
pf,0.03,5,0.9523678090837265,0.06390754935542751,0.019260967895388604,6.527081729386619e-05,0.017193333556254704,0.0072284187904150385,0.0460000013311704,0.0021794496153499476,0.0215726666773359,0.0014764420422705858,0.04674666648109754,0.0008129784583211474
pf,0.03,6,1.0749663710594177,0.015741730845848047,0.02253437110533317,0.0008707853484955957,0.013869999907910824,0.004929635257945642,0.045766666531562805,0.006373644927997387,0.0202661111123032,0.0005473808830285072,0.04550555555356874,0.0003595263160585273
pf,0.03,7,1.1943090359369914,0.029296271546799143,0.025893735916664204,0.001464940594432068,0.013810000071922937,0.004112274450942045,0.045033334443966545,0.007251436436516399,0.019341904758697463,0.00018978702412404433,0.04425714324627603,0.0020465499642648485
pf,0.03,8,1.3415855301751032,0.09647399674466851,0.029486948313812416,0.0023034521428773195,0.017396666730443638,0.008458234795239675,0.04726666584610939,0.012823546321753154,0.019098750005165737,0.0012232923501360857,0.044070833285028733,0.00369586597887411
pf,0.03,9,1.5003743833965724,0.06479412637999724,0.03280812473967672,0.0021566417990606683,0.018656666701038677,0.003568421802780305,0.04393333320816358,0.0029160474543060947,0.018962962966826227,0.0008261241181358055,0.04362962981341062,0.0026839791381632707
pf,0.03,10,1.6504909329944188,0.05098134565111621,0.0357615664601326,0.0017421172968481752,0.01686666626483202,0.0033934396063573066,0.04340000078082085,0.007308215165397266,0.018648000030467907,0.0007905045324077091,0.042580000249048074,0.0010701399420226818
