variant,kappa,train_seed,episode,mu_E_mean,mu_H_mean,C_E_max_raw,C_H_max_raw,C_E_running_signed,C_H_running_signed,dual_history_path
pf,0.03,0,1,0.24163693686326346,0.0039897023933008315,0.027170000597834587,0.05310000106692314,0.027170000597834587,0.05310000106692314,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,2,0.5130334695180258,0.00817886705044657,0.031870000064373016,0.0575999990105629,0.0295200003311038,0.05145000107586384,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,3,0.7134694854418436,0.012210561521351337,0.025690000504255295,0.052400000393390656,0.027370000258088112,0.04809999962647756,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,4,0.8217968543370565,0.01566851669922471,0.01360000018030405,0.04919999837875366,0.023927500238642097,0.04649999924004078,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,5,0.928724447886149,0.01923327734693885,0.012529999949038029,0.04450000077486038,0.021648000180721282,0.04581999927759171,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,6,1.0711018840471904,0.02319605043157935,0.01583999954164028,0.05180000141263008,0.02061166676382224,0.04534999964137872,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,7,1.1736781597137451,0.026673175487667324,0.012450000271201134,0.04520000144839287,0.01944571440773351,0.04401428624987602,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,8,1.3581997553507488,0.030518644582480194,0.02225000038743019,0.053700000047683716,0.019796250155195594,0.04444999946281314,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,9,1.5017335414886475,0.03377348594367504,0.016279999166727066,0.04230000078678131,0.0193844445877605,0.04403333365917206,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,10,1.677613337834676,0.03689093980938196,0.019509999081492424,0.04690000042319298,0.019335000216960906,0.04256000034511089,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,11,1.7775727113087971,0.03971262406557798,0.011760000139474869,0.03689999878406525,0.018646363846280357,0.04109090939164162,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
pf,0.03,0,12,1.9626725514729817,0.043817805126309395,0.020549999549984932,0.053199999034404755,0.01876583353926738,0.04123333375900984,/home/wjddustj/LyMARL_extended/results/pf_convergence/kappa_0.030/train_seed_0/dual_history.npz
