variant,kappa,train_seed,episode,global_step,episode_reward_mean,on_ratio_mean,handover_ratio_mean,C_E_max,C_H_max,mu_E_mean_post_update,mu_H_mean_post_update,critic_loss_mean,actor_ue_loss_mean,actor_bs_loss_mean
jensen,0.015,1,1,10000,-239.7372497515711,0.9478,0.071385,0.03514999896287918,0.06700000166893005,0.003174965037032962,0.005156351416371763,0.24014465732574236,-0.002937930685842315,-0.18221351015381515
jensen,0.015,1,2,20000,-235.05646955919377,0.9868,0.040690000000000004,0.03914999961853027,0.03240000084042549,0.006705949859072764,0.007510645594447851,0.3384818525151625,-0.003671163602516975,-0.14728791697416455
jensen,0.015,1,3,30000,-235.24592822983777,0.9973333333333333,0.04801999999999999,0.03979000076651573,0.04320000112056732,0.01033309039970239,0.010534074017778039,0.5104941188150222,-0.002555529968930951,-0.12763136928117114
jensen,0.015,1,4,40000,-233.97797812982924,0.9977999999999999,0.03256,0.0398700013756752,0.02630000002682209,0.013964490965008736,0.012146204197779297,0.668851336578036,-0.002784344779115312,-0.13023853317327513
jensen,0.015,1,5,50000,-233.85594399382705,0.999,0.03125499999999999,0.03993000090122223,0.026599999517202377,0.01760684574643771,0.01363920453004539,0.813192782006066,-0.002304914225146316,-0.10885341419570171
jensen,0.015,1,6,60000,-233.24160400168952,0.9986666666666667,0.022350000000000002,0.039889998733997345,0.010900000110268593,0.021246157586574554,0.01431929343380034,0.9587650135958765,-0.0031076734957043548,-0.11414805765976964
jensen,0.015,1,7,70000,-232.63666799599872,0.9991666666666666,0.015595000000000003,0.03996000066399574,0.006399999838322401,0.02489003414909045,0.014382738061249256,1.0946130102828089,-0.0026478837791659364,-0.10660025136194581
jensen,0.015,1,8,80000,-232.76716240242487,0.9989333333333333,0.017304999999999997,0.0399399995803833,0.006800000090152025,0.028531781087319057,0.01460228329524398,1.224712280745245,-0.002067902619520179,-0.11187358406045227
jensen,0.015,1,9,90000,-233.05128709256235,0.9991333333333333,0.021229999999999995,0.03994999825954437,0.013399999588727951,0.03217535217603048,0.015180130675435066,1.3465731564231278,-0.0026064110144713446,-0.11477198091312017
jensen,0.015,1,10,100000,-232.62901700286054,0.9991666666666666,0.015315,0.03994999825954437,0.003800000064074993,0.03581922873854637,0.015218014735728503,1.4928803877840875,-0.0024035435279719294,-0.10674226102625503
jensen,0.015,1,11,110000,-232.4620040760069,0.9990666666666667,0.013555000000000001,0.03996000066399574,0.002899999963119626,0.03946219260493914,0.015095233870670199,1.6157042008835043,-0.0025480961712236413,-0.11428418992635428
jensen,0.015,1,12,120000,-232.41242186446277,0.9992000000000001,0.01438,0.039969999343156815,0.00279999990016222,0.04310637339949608,0.01504776431247592,1.7375104965220267,-0.002073147152572622,-0.09801175629814403
jensen,0.015,1,13,130000,-232.31688545231233,0.9991,0.01249,0.03999000042676926,0.00019999999494757503,0.04674964273969332,0.014827762404456735,1.8368669118449936,-0.0013822641142620413,-0.09781737158242967
jensen,0.015,1,14,140000,-232.53721835288437,0.9995666666666666,0.015835000000000005,0.039969999343156815,0.004900000058114529,0.05039716884493828,0.01491311602294445,1.9405841553235645,-0.0020228171725521645,-0.08529176169570206
jensen,0.015,1,15,150000,-232.69438860055055,0.9992333333333333,0.014995,0.03994999825954437,0.005400000140070915,0.05404165511329969,0.01492178807966411,2.028929613704925,-0.001559041858918941,-0.09292954609794188
jensen,0.015,1,16,160000,-232.40668338935376,0.9994,0.013550000000000001,0.03996000066399574,0.001500000013038516,0.05768766130010287,0.014798550587147474,2.116828867625735,-0.001719766121307577,-0.0998344659087649
jensen,0.015,1,17,170000,-232.24342665082398,0.9992333333333333,0.01054,0.03996000066399574,-0.00039999998989515007,0.061332146326700844,0.01440053889527917,2.2500999103351056,-0.0015366050173805533,-0.0840654180556848
jensen,0.015,1,18,180000,-232.07778532393272,0.9996,0.010905000000000001,0.039980001747608185,0.0005000000237487257,0.06497997790575027,0.014035846991464495,2.3278614125311154,-0.0024493441953105685,-0.09384941515996109
jensen,0.015,1,19,190000,-232.51668270809958,0.9989333333333335,0.01253,0.039969999343156815,9.999999747378752e-05,0.06862172484397888,0.013819496612995863,2.4125881881756026,-0.0007514528417370364,-0.08769365725817772
jensen,0.015,1,20,200000,-232.58612234705058,0.9993333333333334,0.01542,0.03994999825954437,0.009499999694526196,0.07226712256669998,0.013866965798661113,2.5114680750700327,-0.00147108396314839,-0.0826917407508126
jensen,0.015,1,21,210000,-232.4344496031341,0.9990666666666667,0.013669999999999998,0.03996000066399574,0.002899999963119626,0.07591008643309276,0.01375468266196549,2.6001996289928972,-0.0016117286672034665,-0.08598926153823827
jensen,0.015,1,22,220000,-232.73533376679487,0.9992666666666666,0.015470000000000001,0.03993000090122223,0.005400000140070915,0.07955487569173177,0.013806716352701188,2.658309599105468,-0.0018673500019608987,-0.08130392436633664
jensen,0.015,1,23,230000,-232.23162858367186,0.9993333333333334,0.010759999999999999,0.03994999825954437,0.001500000013038516,0.08320027341445287,0.01342878774739802,2.742070735256255,-0.0014972756481198947,-0.0795231037898449
jensen,0.015,1,24,240000,-232.3530801404196,0.9994666666666667,0.013325,0.03996000066399574,0.0017999999690800905,0.086846890548865,0.01328501063399017,2.830231857566462,-0.0014438381816092522,-0.07588777549032864
jensen,0.015,1,25,250000,-232.41355478926877,0.9992333333333333,0.014654999999999998,0.039980001747608185,0.005900000222027302,0.09049137433369954,0.013262645341455936,2.8975865444016438,-0.001652178260986988,-0.08503792531305004
jensen,0.015,1,26,260000,-232.9883108579379,0.9992333333333333,0.019965000000000004,0.03996000066399574,0.009700000286102295,0.09413586060206096,0.01372501435689628,2.9908244273728304,-0.0011087842470571352,-0.0698891710202634
