variant,kappa,episode,mu_E_mean_mean,mu_E_mean_std,mu_H_mean_mean,mu_H_mean_std,C_E_max_raw_mean,C_E_max_raw_std,C_H_max_raw_mean,C_H_max_raw_std,C_E_running_signed_mean,C_E_running_signed_std,C_H_running_signed_mean,C_H_running_signed_std
jensen,0.03,1,0.002680290438648727,0.0004246822893295369,0.0038867001344139378,0.0004718512692255258,0.030836666623751324,0.0039779552976812035,0.05593333269158999,0.0105836339537974,0.030836666623751324,0.0039779552976812035,0.05593333269158999,0.0105836339537974
jensen,0.03,2,0.0061930177940262695,0.0004951354504376586,0.006034229016707589,0.001711810098909287,0.03910999993483225,0.0004190464828015207,0.03469999941686789,0.02142521832940775,0.034918333093325295,0.0020937539907127005,0.04014999978244305,0.010610253392779692
jensen,0.03,3,0.009814579660693804,0.0005032560765787457,0.006700320499173055,0.0020567705633743934,0.03974999984105428,6.999926908754552e-05,0.015266666499276957,0.007003808455861556,0.036524443990654416,0.0014230844215113942,0.03047777764085266,0.007535790501526842
jensen,0.03,4,0.013453790297110876,0.0004984536200757721,0.00633593281187738,0.0019727288746907183,0.039903334031502403,5.5075871199910895e-05,0.002166666730772704,0.007129048675666166,0.037365833297371864,0.00105636838074362,0.022424999876723934,0.006101024065008873
jensen,0.03,5,0.017094522507654298,0.000499622122306057,0.005585248653854554,0.0023198670204060234,0.03993000090122223,0.0,-0.0033333334140479565,0.005577036368385672,0.03787866681814194,0.0008450947045948942,0.016159999964778158,0.005591743613581918
jensen,0.03,6,0.020736167000399697,0.0004975346992273213,0.004552639488247223,0.0024797906781606487,0.039943333715200424,2.3093111218098594e-05,-0.006533333410819371,0.002973774388751995,0.03821611135370201,0.0007008035447838375,0.012105555510061095,0.005020411824564299
jensen,0.03,7,0.024376697010464136,0.0004948441620424562,0.0034676923803999677,0.0025437499256591427,0.0399166668454806,4.163199657817345e-05,-0.00783333337555329,0.0023115649599859374,0.03845619073226338,0.0005973910879058583,0.008761904715529888,0.004480167799152876
jensen,0.03,8,0.028019660049014624,0.0004975148034495311,0.0022973918295368396,0.001987455931839492,0.03996000066399574,2.9999762773513794e-05,-0.013700000010430813,0.001682259989997332,0.03863958362489939,0.0005211799170123986,0.005674999927881193,0.0042035884279324675
jensen,0.03,9,0.03166282632284694,0.000495242570536738,0.0012329843317274935,0.0011290959951641055,0.039966666450103126,3.055012757402366e-05,-0.01146666674564282,0.0023352376187721763,0.03878703727214425,0.0004606627419290485,0.003533333283687373,0.0031684983725495416
jensen,0.03,10,0.03530660147468249,0.000494860569876833,0.00037518994880277506,0.0004131293126474865,0.03995999942223231,3.4640742225826204e-05,-0.01556666661053896,0.002742869473713097,0.0388993335266908,0.0004128064360572746,0.0020099998839820427,0.0018895235924233295
jensen,0.03,11,0.03895240525404612,0.0004942502143000446,3.118975779822601e-05,4.307051871388584e-05,0.039976666371027626,1.1547631007727611e-05,-0.01640000008046627,0.0018357560527500446,0.038995757699012756,0.0003737040036800455,0.0005545453752733231,0.0007936210060018975
